Courses
;Year;Period;Code;Name;Section;Dept.;T;P;L;Cr;ECTS;Category;Lecturer;Room;Schedule;# of Students;Successfull;Unsuccessfull;Conditional;Withdrawn;Average;Staff ID;
;2025;2;CHEM 100;General Chemistry;CHEM 100_01;Basic Sciences;3;0;0;3;5;Course;;D026 DB16;Tu 16 - 18 Fr 12 - 13;0;;;;;;;
;2025;2;CHEM 100;General Chemistry;CHEM 100_02;Basic Sciences;3;0;0;3;5;Course;;DB18 D032;Mo 13 - 15 We 11 - 12;0;;;;;;;
;2025;2;CHEM 100;General Chemistry;CHEM 100_03;Basic Sciences;3;0;0;3;5;Course;;DB14 D032;Mo 16 - 18 We 12 - 13;0;;;;;;;
;2025;2;CHEM 100;General Chemistry;CHEM 100_04;Basic Sciences;3;0;0;3;5;Course;;DB18;Tu 16 - 18 Fr 12 - 13;0;;;;;;;
;2025;2;CIT 221;Global Environmental Issues;CIT 221_01;Faculty of Econ. and Administ. Sciences;3;0;0;3;6;Course;Zeynep Songülen İnanç (S) ;DB20;Th 09 - 12;0;;;;;;00005653 (S);
;2025;2;CIT 226;Cross National Perspectives On Women#s Movement;CIT 226_01;Faculty of Econ. and Administ. Sciences;3;0;0;3;6;Course;;G112;Th 13 - 16;0;;;;;;;
;2025;2;CIT 324;Gender and Media;CIT 324_01;Faculty of Econ. and Administ. Sciences;3;0;0;3;5;Course;Hanife Aliefendioğlu (S) ;G112;Th 16 - 19;0;;;;;;00006507 (S);
;2025;2;CIT 370;Global Concerns: Inequalities and Discrimination;CIT 370_01;Faculty of Econ. and Administ. Sciences;3;0;0;3;5;Course;;G009;We 16 - 19;0;;;;;;;
;2025;2;CIT 374;International Gender Politics;CIT 374_01;Faculty of Econ. and Administ. Sciences;3;0;0;3;5;Course;Sercan Çınar (S) ;G105;Fr 12 - 15;0;;;;;;00003184 (S);
;2025;2;CIT 430;Citizenship Theories;CIT 430_01;Faculty of Econ. and Administ. Sciences;3;0;0;3;5;Course;Nalan Soyarık Şentürk (S) ;G108;Mo 11 - 14;0;;;;;;00005655 (S);
;2025;2;CIT 440;Human Rights Law;CIT 440_01;Faculty of Econ. and Administ. Sciences;3;0;0;3;5;Course;Mehmet Mücahit Arvas (S) ;G009;Fr 15 - 18;0;;;;;;00003967 (S);
;2025;2;CIT 492;Gender and the City;CIT 492_01;Faculty of Econ. and Administ. Sciences;3;0;0;3;5;Course;Aslı Aygüneş ;G010;Tu 15 - 18;0;;;;;;5017;
;2025;2;CITY 102;Basic Design in Planning II;CITY 102_01;Department of City and Regional Planning;2;8;0;6;10;Course;Irmak Yavuz Özgür , Baykan Günay ;H203-MTF;Tu/Fr 09 - 12 Tu/Fr 13 - 15;0;;;;;;00000628 , 00000795;
;2025;2;CITY 112;Graphic Communication Techniques in Architecture and Planning II;CITY 112_01;Department of City and Regional Planning;2;2;0;3;6;Course;Zeynep Eraydın ;H205-MTF;Th 09 - 13;0;;;;;;3212;
;2025;2;CITY 112-O;Graphic Communication Techniques in Architecture and Planning II;CITY 112-O_1;Department of City and Regional Planning;2;2;0;3;5;Course;Zeynep Eraydın ;H205-MTF;Th 09 - 13;0;;;;;;3212;
;2025;2;CITY 202;Planning Studio II;CITY 202_01;Department of City and Regional Planning;2;8;0;6;12;Course;Ceren Gamze Yaşar ;H207-MTF;Tu/Fr 09 - 12 Tu/Fr 13 - 15;0;;;;;;6509;
;2025;2;CITY 202-O;Planning Studio II;CITY 202-O_1;Department of City and Regional Planning;2;8;0;6;11;Course;Ceren Gamze Yaşar ;H207-MTF;Tu/Fr 09 - 12 Tu/Fr 13 - 15;0;;;;;;6509;
;2025;2;CITY 232;The City in History;CITY 232_01;Department of City and Regional Planning;3;0;0;3;5;Course;Ceren Gamze Yaşar ;F212;We 13 - 16;0;;;;;;6509;
;2025;2;CITY 302;Planning Studio IV;CITY 302_01;Department of City and Regional Planning;2;8;0;6;12;Course;Zeynep Eraydın ;H208-MTF;Tu/Fr 09 - 12 Tu/Fr 13 - 15;0;;;;;;3212;
;2025;2;CITY 302-O;Planning Studio IV;CITY 302-O_1;Department of City and Regional Planning;2;8;0;6;11;Course;Zeynep Eraydın ;H208-MTF;Tu/Fr 09 - 12 Tu/Fr 13 - 15;0;;;;;;3212;
;2025;2;CITY 322;Urban Circulation and Transport Planning;CITY 322_01;Department of City and Regional Planning;3;0;0;3;5;Course;;F204;Mo 13 - 16;0;;;;;;;
;2025;2;CITY 322-O;Urban Circulation and Transport Planning;CITY 322-O_1;Department of City and Regional Planning;3;0;0;3;4;Course;;F204;Mo 13 - 16;0;;;;;;;
;2025;2;CITY 352;Planning Theory and Techniques;CITY 352_01;Department of City and Regional Planning;2;2;0;3;6;Course;Baykan Günay ;F212;Mo 09 - 12;0;;;;;;795;
;2025;2;CITY 352-O;Planning Theory and Techniques;CITY 352-O_1;Department of City and Regional Planning;3;0;0;3;5;Course;Baykan Günay ;F212;Mo 09 - 12;0;;;;;;795;
;2025;2;CITY 362; Sociology of Planning and Design;CITY 362_01;Department of City and Regional Planning;3;0;0;3;5;Course;Ela Ataç Kavurmacı ;F204;Th 09 - 12;0;;;;;;594;
;2025;2;CITY 399;Summer Practise I: Research and Analysis Practise;CITY 399_01;Department of City and Regional Planning;0;2;0;1;3;Internship;Ela Ataç Kavurmacı ;;Fr 18 - 19;0;;;;;;594;
;2025;2;CITY 399-O;Summer Practise I: Research and Analysis Practise;CITY 399-O_1;Department of City and Regional Planning;0;0;0;0;2;Internship;Ela Ataç Kavurmacı ;;Fr 18 - 19;0;;;;;;594;
;2025;2;CITY 402;Planning Studio VI;CITY 402_01;Department of City and Regional Planning;2;8;0;6;12;Course;Serdar Özbay (S) , Ela Ataç Kavurmacı , Cansu Canaran ;H210-MTF;Tu/Fr 13 - 15 Tu/Fr 09 - 12;0;;;;;;00001880 (S) , 00000594 , 00000592;
;2025;2;CITY 402-O;Planning Studio VI;CITY 402-O_1;Department of City and Regional Planning;2;8;0;6;10;Course;Cansu Canaran , Ela Ataç Kavurmacı , Serdar Özbay (S) ;H210-MTF;Tu/Fr 13 - 15 Tu/Fr 09 - 12;0;;;;;;00000592 , 00000594 , 00001880 (S);
;2025;2;CITY 412;Urban Morphology;CITY 412_01;Department of City and Regional Planning;3;0;0;3;5;Course;Irmak Yavuz Özgür ;F214;We 13 - 16;0;;;;;;628;
;2025;2;CITY 412-O;Urban Morphology;CITY 412-O_1;Department of City and Regional Planning;2;1;0;2;5;Course;Irmak Yavuz Özgür ;F214;We 13 - 16;0;;;;;;628;
;2025;2;CITY 444;Space, Form, and Conceptual Design Explorations;CITY 444_01;Department of City and Regional Planning;3;0;0;3;5;Course;Cansu Canaran ;F117;We 09 - 12;0;;;;;;592;
;2025;2;CITY 499;Summer Practise II: Planning and Design Practise;CITY 499_01;Department of City and Regional Planning;0;2;0;1;2;Internship;Irmak Yavuz Özgür ;;Fr 19 - 20;0;;;;;;628;
;2025;2;CITY 499-O;Summer Practise II: Planning and Design Practise;CITY 499-O_1;Department of City and Regional Planning;0;0;0;0;2;Internship;Irmak Yavuz Özgür ;;Fr 19 - 20;0;;;;;;628;
;2025;2;CMPE 110;Programming with Python;CMPE 110_01;Department of Computer Engineering;2;0;2;3;5;Course;Gökçe Nur Yılmaz , Semihanur Aktay Subaşı ;D234 A514-PC-L;Mo 16 - 18 Tu 15 - 17;0;;;;;;00003053 , 00003227;
;2025;2;CMPE 110;Programming with Python;CMPE 110_02;Department of Computer Engineering;2;0;2;3;5;Course;Semihanur Aktay Subaşı , Gökçe Nur Yılmaz ;A514-PC-L D228;Tu 17 - 19 We 16 - 18;0;;;;;;00003227 , 00003053;
;2025;2;CMPE 113;Fundamentals of Programming I;CMPE 113_01;Department of Computer Engineering;2;0;2;3;5;Course;Eren Ulu ;DB20 A514-PC-L;Tu 13 - 15 Th 17 - 19;12;;;;;;469;
;2025;2;CMPE 113;Fundamentals of Programming I;CMPE 113_02;Department of Computer Engineering;2;0;2;3;5;Course;Eren Ulu ;DB20 A514-PC-L;Mo 11 - 13 Th 15 - 17;7;;;;;;469;
;2025;2;CMPE 113;Fundamentals of Programming I;CMPE 113_03;Department of Computer Engineering;2;0;2;3;5;Course;Gökçe Nur Yılmaz , Semihanur Aktay Subaşı ;D030 H007/009-PC;Tu 13 - 15 Th 17 - 19;12;;;;;;00003053 , 00003227;
;2025;2;CMPE 113;Fundamentals of Programming I;CMPE 113_04;Department of Computer Engineering;2;0;2;3;5;Course;Gökçe Nur Yılmaz , Semihanur Aktay Subaşı ;DB14 H007/009-PC;Mo 11 - 13 Th 15 - 17;7;;;;;;00003053 , 00003227;
;2025;2;CMPE 114;Fundamentals of Programming II;CMPE 114_01;Department of Computer Engineering;2;0;2;3;6;Course;Eren Ulu ;DB20 A514-PC-L;Mo 13 - 15 Fr 15 - 17;0;;;;;;469;
;2025;2;CMPE 114;Fundamentals of Programming II;CMPE 114_02;Department of Computer Engineering;2;0;2;3;6;Course;Eren Ulu ;DB20 A514-PC-L;Tu 11 - 13 Fr 17 - 19;0;;;;;;469;
;2025;2;CMPE 201;Discrete Structures of Mathematics;CMPE 201_01;Department of Computer Engineering;3;0;0;3;6;Course;Anıl Özdemir ;D228;Mo 13 - 14 We 09 - 11;0;;;;;;2015;
;2025;2;CMPE 201;Discrete Structures of Mathematics;CMPE 201_02;Department of Computer Engineering;3;0;0;3;6;Course;Anıl Özdemir ;D228;Mo 14 - 16 We 13 - 14;0;;;;;;2015;
;2025;2;CMPE 201;Discrete Structures of Mathematics;CMPE 201_03;Department of Computer Engineering;3;0;0;3;6;Course;Niyazi Anıl Gezer ;D232 D028;Mo 13 - 14 We 09 - 11;0;;;;;;3329;
;2025;2;CMPE 223;Data Structures and Algorithms I;CMPE 223_01;Department of Computer Engineering;3;0;0;3;6;Course;Tolga Kurtuluş Çapın ;DB14 D028;Tu 13 - 15 Fr 13 - 14;0;;;;;;244;
;2025;2;CMPE 223;Data Structures and Algorithms I;CMPE 223_02;Department of Computer Engineering;3;0;0;3;6;Course;Tolga Kurtuluş Çapın ;DB14 D028;Tu 16 - 18 Fr 14 - 15;0;;;;;;244;
;2025;2;CMPE 223;Data Structures and Algorithms I;CMPE 223_03;Department of Computer Engineering;3;0;0;3;6;Course;Tolga Kurtuluş Çapın ;D030 D028;Mo 11 - 13 Fr 15 - 16;0;;;;;;244;
;2025;2;CMPE 223;Data Structures and Algorithms I;CMPE 223_04;Department of Computer Engineering;3;0;0;3;6;Course;Mehmet Evren Coşkun ;DB14 G009;Tu 15 - 16 Th 09 - 11;0;;;;;;6656;
;2025;2;CMPE 224;Data Structures and Algorithms II;CMPE 224_01;Department of Computer Engineering;3;0;0;3;6;Course;Ulaş Güleç ;D030;Th 09 - 11 Fr 13 - 14;0;;;;;;3019;
;2025;2;CMPE 224;Data Structures and Algorithms II;CMPE 224_02;Department of Computer Engineering;3;0;0;3;6;Course;Ulaş Güleç ;D026 D030;Th 12 - 13 Fr 11 - 13;0;;;;;;3019;
;2025;2;CMPE 224;Data Structures and Algorithms II;CMPE 224_03;Department of Computer Engineering;3;0;0;3;6;Course;Ulaş Güleç ;D026 D030;Th 13 - 14 Fr 16 - 18;0;;;;;;3019;
;2025;2;CMPE 232;Database Systems;CMPE 232_01;Department of Computer Engineering;3;0;0;3;5;Course;Tansel Dökeroğlu ;D030 D028;Mo 09 - 11 Th 12 - 13;0;;;;;;337;
;2025;2;CMPE 232;Database Systems;CMPE 232_02;Department of Computer Engineering;3;0;0;3;5;Course;Ayşe Yasemin Seydim ;D234 D030;We 12 - 14 Th 11 - 12;0;;;;;;5863;
;2025;2;CMPE 242;Data Structures and Algorithms I;CMPE 242_01;Department of Computer Engineering;3;0;0;3;6;Course;Tolga Kurtuluş Çapın ;DB14 D028;Tu 13 - 15 Fr 13 - 14;0;;;;;;244;
;2025;2;CMPE 242;Data Structures and Algorithms I;CMPE 242_02;Department of Computer Engineering;3;0;0;3;6;Course;Tolga Kurtuluş Çapın ;DB14 D028;Tu 16 - 18 Fr 14 - 15;0;;;;;;244;
